"","Category","ID","Name","PValue","QValueFDRBH","QValueFDRBY","QValueBonferroni","TotalGenes","GenesInTerm","GenesInQuery","GenesInTermInQuery","Source","URL"
"1","GeneOntologyMolecularFunction","GO:0016758","hexosyltransferase activity",1.06931261803134e-07,2.46772682286647e-05,0.000159462783943258,3.83883229873252e-05,19968,211,76,9," "," "
"2","GeneOntologyMolecularFunction","GO:0016757","glycosyltransferase activity",1.37477817429887e-07,2.46772682286647e-05,0.000159462783943258,4.93545364573293e-05,19968,288,76,10," "," "
"3","GeneOntologyMolecularFunction","GO:0030145","manganese ion binding",2.92696651885182e-07,3.50260326755934e-05,0.00022633577708775,0.00010507809802678,19968,71,76,6," "," "
"4","GeneOntologyMolecularFunction","GO:0140103","catalytic activity, acting on a glycoprotein",1.62399780510396e-06,0.000136236789902043,0.0008803526221771,0.000583015212032322,19968,23,76,4," "," "
"5","GeneOntologyMolecularFunction","GO:0008194","UDP-glycosyltransferase activity",1.89744832732651e-06,0.000136236789902043,0.0008803526221771,0.000681183949510216,19968,153,76,7," "," "
"6","GeneOntologyMolecularFunction","GO:0016740","transferase activity",1.4616498345479e-05,0.000874553817671162,0.00565130569485221,0.00524732290602697,19968,2370,76,23," "," "
"7","GeneOntologyMolecularFunction","GO:0019207","kinase regulator activity",0.000160751118187196,0.00824423591845764,0.0532736767643993,0.0577096514292035,19968,305,76,7," "," "
"8","GeneOntologyMolecularFunction","GO:0008375","acetylglucosaminyltransferase activity",0.000761683944987014,0.0306748853176192,0.19821896672525,0.273444536250338,19968,47,76,3," "," "
"9","GeneOntologyMolecularFunction","GO:0005388","P-type calcium transporter activity",0.000769008267015524,0.0306748853176192,0.19821896672525,0.276073967858573,19968,11,76,2," "," "
"10","GeneOntologyMolecularFunction","GO:0051787","misfolded protein binding",0.00210263340485222,0.0754845392341947,0.487775821027745,0.754845392341947,19968,18,76,2," "," "
"11","GeneOntologyMolecularFunction","GO:0019955","cytokine binding",0.00304174343523323,0.0868076852073004,0.560945199547931,1,19968,157,76,4," "," "
"12","GeneOntologyMolecularFunction","GO:0019887","protein kinase regulator activity",0.00308542516685989,0.0868076852073004,0.560945199547931,1,19968,259,76,5," "," "
"13","GeneOntologyMolecularFunction","GO:0046527","glucosyltransferase activity",0.00314345378187996,0.0868076852073004,0.560945199547931,1,19968,22,76,2," "," "
"14","GeneOntologyMolecularFunction","GO:0004860","protein kinase inhibitor activity",0.00365361863038393,0.0936892205934165,0.605413200637268,1,19968,81,76,3," "," "
"15","GeneOntologyMolecularFunction","GO:0019210","kinase inhibitor activity",0.00432340563427814,0.10347350818039,0.668638583733277,1,19968,86,76,3," "," "
"16","GeneOntologyMolecularFunction","GO:0016411","acylglycerol O-acyltransferase activity",0.00658574658578364,0.137993369745521,0.891703518453949,1,19968,32,76,2," "," "
"17","GeneOntologyMolecularFunction","GO:0008378","galactosyltransferase activity",0.00784232070924003,0.137993369745521,0.891703518453949,1,19968,35,76,2," "," "
