"","Category","ID","Name","PValue","QValueFDRBH","QValueFDRBY","QValueBonferroni","TotalGenes","GenesInTerm","GenesInQuery","GenesInTermInQuery","Source","URL"
"1","GeneOntologyMolecularFunction","GO:0005125","cytokine activity",2.14066863220591e-12,1.32079254607105e-09,9.24937130912731e-09,1.32079254607105e-09,19968,250,185,19," "," "
"2","GeneOntologyMolecularFunction","GO:0008009","chemokine activity",9.00445313502477e-10,2.37259045155312e-07,1.66150014369663e-06,5.55574758431028e-07,19968,51,185,9," "," "
"3","GeneOntologyMolecularFunction","GO:0005126","cytokine receptor binding",1.40614391150268e-09,2.37259045155312e-07,1.66150014369663e-06,8.67590793397155e-07,19968,324,185,18," "," "
"4","GeneOntologyMolecularFunction","GO:0048018","receptor ligand activity",1.53814615983995e-09,2.37259045155312e-07,1.66150014369663e-06,9.49036180621248e-07,19968,547,185,23," "," "
"5","GeneOntologyMolecularFunction","GO:0030546","signaling receptor activator activity",1.96094045916899e-09,2.41980052661454e-07,1.69456086281363e-06,1.20990026330727e-06,19968,554,185,23," "," "
"6","GeneOntologyMolecularFunction","GO:0030545","signaling receptor regulator activity",2.96783613961894e-09,3.05192483024148e-07,2.13723086539363e-06,1.83115489814489e-06,19968,616,185,24," "," "
"7","GeneOntologyMolecularFunction","GO:0045236","CXCR chemokine receptor binding",9.8689078001567e-09,8.6987373038524e-07,6.0916342602951e-06,6.08911611269668e-06,19968,18,185,6," "," "
"8","GeneOntologyMolecularFunction","GO:0140677","molecular function activator activity",3.19505104947548e-08,2.46418312190796e-06,1.72564152758213e-05,1.97134649752637e-05,19968,1233,185,33," "," "
"9","GeneOntologyMolecularFunction","GO:0042379","chemokine receptor binding",6.08305426755438e-08,4.17027164786784e-06,2.92039738154162e-05,3.75324448308105e-05,19968,81,185,9," "," "
"10","GeneOntologyMolecularFunction","GO:0008201","heparin binding",2.42302005968984e-07,1.49500337682863e-05,0.000104693514373781,0.000149500337682863,19968,192,185,12," "," "
"11","GeneOntologyMolecularFunction","GO:0098772","molecular function regulator activity",6.87429413760656e-07,3.85585407536659e-05,0.000270021406185002,0.000424143948290325,19968,2291,185,45," "," "
"12","GeneOntologyMolecularFunction","GO:0001664","G protein-coupled receptor binding",3.30012692404623e-06,0.000169317027290547,0.00118570933719039,0.00203617831213652,19968,337,185,14," "," "
"13","GeneOntologyMolecularFunction","GO:0005102","signaling receptor binding",3.56745762524654e-06,0.000169317027290547,0.00118570933719039,0.00220112135477711,19968,1738,185,36," "," "
"14","GeneOntologyMolecularFunction","GO:0005539","glycosaminoglycan binding",7.970769519582e-06,0.000351283199541578,0.00245999930638883,0.00491796479358209,19968,268,185,12," "," "
"15","GeneOntologyMolecularFunction","GO:1901681","sulfur compound binding",1.04805790000664e-05,0.000431101149536063,0.00301895601675827,0.00646651724304095,19968,323,185,13," "," "
"16","GeneOntologyMolecularFunction","GO:0016972","thiol oxidase activity",1.53319567481171e-05,0.000591238582099265,0.00414038161737467,0.00945981731358825,19968,6,185,3," "," "
"17","GeneOntologyMolecularFunction","GO:0015035","protein-disulfide reductase activity",1.9310589937202e-05,0.000700860823014921,0.00490805464292563,0.0119146339912537,19968,36,185,5," "," "
"18","GeneOntologyMolecularFunction","GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds",4.57869386977361e-05,0.00144336168762649,0.0101077101183973,0.0282505411765032,19968,22,185,4," "," "
"19","GeneOntologyMolecularFunction","GO:0003756","protein disulfide isomerase activity",4.57869386977361e-05,0.00144336168762649,0.0101077101183973,0.0282505411765032,19968,22,185,4," "," "
"20","GeneOntologyMolecularFunction","GO:0015036","disulfide oxidoreductase activity",4.67864404417014e-05,0.00144336168762649,0.0101077101183973,0.0288672337525298,19968,43,185,5," "," "
"21","GeneOntologyMolecularFunction","GO:0016670","oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor",0.000122232223689287,0.00359129914363287,0.0251494902514573,0.0754172820162902,19968,11,185,3," "," "
"22","GeneOntologyMolecularFunction","GO:0042802","identical protein binding",0.000170227796967479,0.00477411594222431,0.0334326319101452,0.105030550728935,19968,2584,185,42," "," "
"23","GeneOntologyMolecularFunction","GO:0016667","oxidoreductase activity, acting on a sulfur group of donors",0.000183275068118984,0.0049165529143223,0.0344301030474568,0.113080717029413,19968,57,185,5," "," "
"24","GeneOntologyMolecularFunction","GO:0008083","growth factor activity",0.000214800516742679,0.00552216328459304,0.0386711287860975,0.132531918830233,19968,173,185,8," "," "
"25","GeneOntologyMolecularFunction","GO:0016722","oxidoreductase activity, acting on metal ions",0.000576279463320031,0.0142225771547384,0.0995992122064946,0.355564428868459,19968,18,185,3," "," "
"26","GeneOntologyMolecularFunction","GO:0016491","oxidoreductase activity",0.000795308026167889,0.0172395683699536,0.120726884427927,0.490705052145587,19968,766,185,17," "," "
"27","GeneOntologyMolecularFunction","GO:0052851","ferric-chelate reductase (NADPH) activity",0.000838228607939396,0.0172395683699536,0.120726884427927,0.517187051098608,19968,5,185,2," "," "
"28","GeneOntologyMolecularFunction","GO:0000293","ferric-chelate reductase activity",0.000838228607939396,0.0172395683699536,0.120726884427927,0.517187051098608,19968,5,185,2," "," "
"29","GeneOntologyMolecularFunction","GO:0008823","cupric reductase (NADH) activity",0.000838228607939396,0.0172395683699536,0.120726884427927,0.517187051098608,19968,5,185,2," "," "
"30","GeneOntologyMolecularFunction","GO:0004376","glycolipid mannosyltransferase activity",0.000838228607939396,0.0172395683699536,0.120726884427927,0.517187051098608,19968,5,185,2," "," "
"31","GeneOntologyMolecularFunction","GO:0004115","3',5'-cyclic-AMP phosphodiesterase activity",0.00105835111896485,0.0210646013032682,0.147513187829706,0.653002640401313,19968,22,185,3," "," "
"32","GeneOntologyMolecularFunction","GO:0047555","3',5'-cyclic-GMP phosphodiesterase activity",0.00137217769486797,0.026457301179173,0.185277697978786,0.846633637733536,19968,24,185,3," "," "
"33","GeneOntologyMolecularFunction","GO:0016757","glycosyltransferase activity",0.00150410297210046,0.0273018545667033,0.191192016540687,0.928031533785984,19968,288,185,9," "," "
"34","GeneOntologyMolecularFunction","GO:0008028","monocarboxylic acid transmembrane transporter activity",0.00150460988544108,0.0273018545667033,0.191192016540687,0.928344299317146,19968,90,185,5," "," "
"35","GeneOntologyMolecularFunction","GO:0004114","3',5'-cyclic-nucleotide phosphodiesterase activity",0.00154872756861364,0.0273018545667033,0.191192016540687,0.955564909834616,19968,25,185,3," "," "
"36","GeneOntologyMolecularFunction","GO:0008514","organic anion transmembrane transporter activity",0.00169222428660705,0.0277515519661407,0.194341200139972,1,19968,293,185,9," "," "
"37","GeneOntologyMolecularFunction","GO:0016723","oxidoreductase activity, acting on metal ions, NAD or NADP as acceptor",0.00173888862171091,0.0277515519661407,0.194341200139972,1,19968,7,185,2," "," "
