TreatmentIL1b	TreatmentIL1b_Elig	TreatmentUntreated	Time
MEbisque4	-0.311538111195617	-0.31867479246898	0.630212903664596	0.25078489440532
MEblack	-0.0259022121346271	-0.0315204919145821	0.0574227040492092	0.137461608421942
MEblue	0.0187581035140418	0.0715925124616596	-0.0903506159757013	-0.824210822585463
MEbrown	0.00158690382816122	0.0110624331729025	-0.0126493370010637	0.0885258115451386
MEbrown4	-0.0374615492797035	-0.000425167351643887	0.0378867166313474	0.661581562751881
MEcyan	0.302802546797229	0.310349012668619	-0.613151559465848	0.181081612196117
MEdarkgreen	0.0162832083600013	0.0545909664161244	-0.0708741747761257	-0.698579543622737
MEdarkgrey	0.275257257033115	0.284535702064474	-0.55979295909759	0.165997599104402
MEdarkmagenta	0.0636273430347982	0.117272017672333	-0.180899360707132	0.51788999488239
MEdarkolivegreen	0.0625174877241597	0.13192240356261	-0.19443989128677	-0.451513798046598
MEdarkorange	-0.0305424646864794	0.277032612971715	-0.246490148285236	-0.10090024776265
MEdarkorange2	0.267934605677479	0.243505001876922	-0.511439607554401	-0.484518395682001
MEdarkred	-0.307316486727187	-0.314652605603784	0.621969092330971	0.337732420718527
MEdarkslateblue	0.26505180332866	0.248420255510241	-0.513472058838901	-0.580508513113771
MEdarkturquoise	0.0378688487253574	0.0524145934073254	-0.0902834421326829	0.160433092351136
MEfloralwhite	0.393628606861955	0.416802457138506	-0.810431064000461	-0.244846743153451
MEgreen	-0.142964318036396	-0.148576438136205	0.291540756172601	-0.0566153934677918
MEgreenyellow	-0.246219347092651	-0.249236016776708	0.495455363869359	-0.0281826025161113
MEgrey60	-0.066616180365987	-0.143152228383072	0.209768408749059	0.533394620145414
MEivory	0.0281704021739695	0.269684387757818	-0.297854789931787	-0.593164780819512
MElightcyan	0.281803477495298	0.291372880588107	-0.573176358083406	-0.110169524646917
MElightcyan1	0.233356438570163	0.281148378767652	-0.514504817337815	0.0301311889961017
MElightgreen	0.0474179541649381	0.0594592323720175	-0.106877186536956	-0.526538734851794
MElightsteelblue1	0.320391111046601	0.345487235381205	-0.665878346427806	0.14959792150763
MElightyellow	-0.0189527509116247	0.082541764309481	-0.0635890133978563	-0.661847499115918
MEmagenta	-0.00720926909769775	-0.00780768199200514	0.0150169510897029	0.0296987067789518
MEmediumpurple3	-0.126650304517111	-0.135031217196741	0.261681521713852	0.897699540200724
MEmidnightblue	-0.0834095120260456	-0.0340602495738431	0.117469761599889	-0.479320824924684
MEorange	0.143690178602661	0.303133778943966	-0.446823957546627	-0.740905494902506
MEorangered4	-0.215830442033372	-0.19020478493819	0.406035226971562	-0.48662603243881
MEpaleturquoise	-0.365632993241756	-0.365724459494762	0.731357452736518	0.155492491820126
MEpink	0.0106827433983898	0.0220309359869536	-0.0327136793853434	-0.515278919625853
MEplum1	-0.176980891404796	-0.18722808876485	0.364208980169646	0.748236821245926
MEplum2	-0.147929015688154	-0.228713327156527	0.376642342844681	0.761592147573886
MEpurple	0.0423319195088319	0.0310619149697995	-0.0733938344786314	-0.0444431483638498
MEred	-0.013234826512153	-0.00802680885529748	0.0212616353674505	0.175456168889061
MEroyalblue	-0.0385587445884409	-0.038197255165262	0.0767559997537029	0.0535938044613746
MEsaddlebrown	-0.0236895975492109	-0.0742965534957589	0.0979861510449697	0.546968578885988
MEsalmon	0.482167652864364	0.493656371279296	-0.97582402414366	-0.0340209890240529
MEsienna3	0.0928882665856044	0.0840003412912445	-0.176888607876849	-0.209411039005338
MEskyblue	-0.0768493988513979	-0.0601387578038902	0.136988156655288	-0.0267083292159708
MEskyblue3	-0.180448312271739	-0.166357065802494	0.346805378074233	0.311204534458183
MEsteelblue	-0.430816649502583	-0.435820730746678	0.866637380249262	-0.0314500429698186
MEtan	-0.156065105598597	-0.199543901982406	0.355609007581003	0.00484196771169527
MEthistle1	0.253269355570678	0.387020289431981	-0.640289645002659	-0.608426681235425
MEthistle2	0.0552613954408466	-0.00345511315530027	-0.0518062822855464	-0.431437682817709
MEturquoise	0.0273654117616002	0.0344714387470711	-0.0618368505086712	-0.880042082899632
MEviolet	-0.195847480020728	-0.16427781014229	0.360125290163018	-0.0735672483846897
MEwhite	-0.106692512026137	-0.115028859217432	0.221721371243569	0.158039196318479
MEyellow	0.000201764504627706	0.0292090642083198	-0.0294108287129475	-0.0863009846965305
MEyellowgreen	-0.0279857148736358	-0.0197954495486545	0.0477811644222902	0.656203459431666
