TreatmentIL1b	TreatmentIL1b_Elig	TreatmentUntreated	Time
MEbisque4	0.113681948901799	0.105213354494058	0.000426336653397632	0.207044225884083
MEblack	0.897955616843014	0.87597499675636	0.776032603429349	0.494145725068562
MEblue	0.926010230636686	0.7226954850961	0.654023871651504	1.26217751821538e-07
MEbrown	0.993732206317301	0.956326777880446	0.950069063033763	0.660595480874138
MEbrown4	0.852829171416741	0.99832070156257	0.851177078982961	0.000171384411270174
MEcyan	0.124720840930287	0.115140538172679	0.000672345048201089	0.366043693006964
MEdarkgreen	0.935750908244142	0.786820265184156	0.725371507580911	5.06489204533469e-05
MEdarkgrey	0.164645841924756	0.150303289578036	0.00239550835702654	0.40795477501023
MEdarkmagenta	0.752539492334447	0.560199591290554	0.366534483151348	0.00565819911085327
MEdarkolivegreen	0.756726716661729	0.511869977331621	0.331125665043317	0.0180737690217322
MEdarkorange	0.879795381985787	0.161829415754264	0.215187453775296	0.616536238881473
MEdarkorange2	0.176628412591647	0.220973462138216	0.00639853609544409	0.0104317428780602
MEdarkred	0.11892280311429	0.109926361965457	0.000533058455854698	0.0849050472611994
MEdarkslateblue	0.181508931077457	0.211501418703046	0.00615692593956156	0.00150069440021205
MEdarkturquoise	0.851246496841494	0.795137569276135	0.654265340638839	0.424066363700563
MEfloralwhite	0.0422126936502654	0.0305558584281504	2.99376171510858e-07	0.21835999901777
MEgreen	0.476848700497767	0.459533861945059	0.140083728816217	0.779104061605626
MEgreenyellow	0.215708070625981	0.209956469069832	0.00859258997851441	0.889024173351967
MEgrey60	0.741297540924816	0.47626358032516	0.293647948232839	0.00416910055316505
MEivory	0.889071923375753	0.173711232872164	0.131310785149041	0.00111038044305722
MElightcyan	0.15443037057752	0.140322612931676	0.00177704292159447	0.584351581085981
MElightcyan1	0.241422268156092	0.155431800586841	0.00603713710629264	0.881402703220572
MElightgreen	0.814314393465408	0.768299205341388	0.595699067821919	0.00478025336892598
MElightsteelblue1	0.103248716778817	0.0775522933200124	0.000150039624472405	0.456418296501683
MElightyellow	0.92524456191305	0.682316350461409	0.752683987960967	0.000169989636583045
MEmagenta	0.97153094878668	0.969168907451128	0.940738215958795	0.883093397009301
MEmediumpurple3	0.52902367417433	0.501884289998261	0.187332863607655	2.20298604643508e-10
MEmidnightblue	0.679150747577534	0.866067018760424	0.559533719191941	0.0114146166653572
MEorange	0.474590540604755	0.124288481800754	0.0194616640997675	9.87158597856657e-06
MEorangered4	0.279595824762182	0.34196983331987	0.035598739416306	0.0100538345739589
MEpaleturquoise	0.0607213074105371	0.0606519817338407	1.46536061747816e-05	0.438659240015855
MEpink	0.957824415294496	0.913145228815142	0.871317827986804	0.0059486457132722
MEplum1	0.377179549025236	0.349717800912738	0.0618085840506478	7.20451195397105e-06
MEplum2	0.461514297274542	0.251181476961641	0.0528092566201975	3.94665113990417e-06
MEpurple	0.833942103140557	0.877765964694858	0.715999069226717	0.825782085059688
MEred	0.947760984208708	0.968304037502318	0.916167430118056	0.38136950224902
MEroyalblue	0.848567001409305	0.84997079194419	0.703555242313084	0.790628280272874
MEsaddlebrown	0.90663323144259	0.712650871590028	0.626803021189301	0.0031530322532002
MEsalmon	0.0108671488202037	0.008874908319949	4.98432932446621e-18	0.866220033752274
MEsienna3	0.644926887350167	0.676998393377277	0.377432385055886	0.294489980472823
MEskyblue	0.703210603994935	0.765723582430649	0.495648519438081	0.894796912440248
MEskyblue3	0.367750778945155	0.40692588894598	0.0763524626747552	0.114089740379207
MEsteelblue	0.0248712425825754	0.0230628983920575	5.09070837860969e-09	0.876250095917403
MEtan	0.436954193414324	0.31833755909889	0.0686996046004956	0.980877215250587
MEthistle1	0.202430551945034	0.0461138240223462	0.0003216301486661	0.000759281383692453
MEthistle2	0.78426267684509	0.986353833109714	0.79746626741033	0.0246407493071002
MEturquoise	0.892223343317266	0.864464724472526	0.759297929755508	1.46052113720405e-09
MEviolet	0.327568234753364	0.412897336843802	0.0650105538014982	0.715355474494246
MEwhite	0.596338356506392	0.56777819493256	0.266358596800916	0.431103579043684
MEyellow	0.99920308321429	0.885008149665567	0.884219070386195	0.668640991010926
MEyellowgreen	0.889794803496414	0.921930464639892	0.812916746071806	0.000201840776676537
